alt-J, 5.6, 3.0, 6.0, 5.0, 6.0
Arcade Fire, 6.5, 4.0, 6.5, 5.0, 6.0
Arctic Monkeys, 4.0, 7.0, 4.0, 6.5, 3.0
Audioslave, 5.0, 8.2, 5.3, 6.1, 2.1
Beck, 4.7, 2.6, 6.7, 5.6, 7.9
Blur, 3.0, 6.5, 4.5, 7.0, 2.0
Bon Iver, 7.5, 3.0, 7.0, 5.0, 5.0
Childish Gambino, 2.0, 6.0, 3.0, 6.5, 5.0
Clipping, 6.7, 8.1, 8.7, 3.7, 8.7
Coldplay, 5.9, 2.3, 4.5, 8.3, 4.6
Daft Punk, 2.1, 3.6, 6.0, 6.2, 8.7
Death Cab for Cutie, 8.0, 5.0, 5.0, 4.0, 6.0
Elton John, 6.7, 4.1, 2.0, 8.0, 4.9
Foster The People, 2.0, 2.0, 7.5, 6.5, 8.0
Glass Animals, 1.8, 2.4, 7.2, 5.0, 6.0
Gorillaz, 6.0, 5.0, 8.2, 6.8, 7.6
Interpol, 6.0, 5.7, 5.3, 4.3, 3.3
Jack White, 4.5, 7.6, 6.5, 6.6, 3.2
Kendrick Lamar, 1.3, 7.3, 4.5, 8.0, 5.0
LCD Soundsystem, 5.6, 4.7, 5.8, 5.2, 8.2
Logic, 1.0, 2.5, 6.2, 5.8, 6.8
M83, 5.6, 5.0, 7.8, 3.4, 9.2
Modest Mouse, 7.2, 6.2, 6.4, 3.2, 2.2
Muse, 3.1, 6.9, 5.5, 5.9, 6.2
Nine Inch Nails, 7.8, 7.0, 9.0, 6.3, 8.5
Nirvana, 6.0, 7.2, 6.3, 7.5, 1.1
Oasis, 3.5, 5.4, 3.2, 7.2, 2.0
Passion Pit, 7.3, 1.4, 6.5, 2.3, 8.2
Queens of the Stone Age, 3.5, 5.6, 5.7, 5.4, 2.1
Radiohead, 9.5, 7.8, 8.2, 7.0, 7.2
The Red Hot Chili Peppers, 0.8, 6.0, 5.0, 7.6, 1.7
The Smashing Pumpkins, 5.4, 6.2, 4.3, 5.2, 3.4
Vampire Weekend, 2.2, 2.0, 6.8, 5.5, 3.2
Weezer, 7.0, 6.5, 2.2, 4.2, 2.1
The Beatles, 3.6, 3.0, 2.2, 9.5, 1.9
The White Stripes, 1.2, 7.8, 5.8, 6.0, 2.3
U2, 3.3, 4.8, 4.1, 8.2, 5.6
